ID,Zmiana,Cena,Link
66980201,Zakończono,354 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4x2BP
66987900,Zakończono,349 000 zł,https://www.otodom.pl/hpr/pl/oferta/3-pokoje-45-m-z-potencjalem-stare-miasto-ID4x4C0
67007105,Zakończono,354 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4x9BL
67010945,Dodano,335 000 zł,https://www.otodom.pl/hpr/pl/oferta/centrum-dluga-2-pokoje-47m-ID4xaBH
67017388,Zakończono,340 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-rataje-os-jagiellonskie-ID4xchC
67020766,Zakończono,295 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-antresola-w-centrum-jezyc-do-remontu-ID4xda6
67020766,Dodano,295 000 zł,https://www.otodom.pl/pl/oferta/rezerwacja-kawalerka-z-antresola-w-centrum-jezyc-ID4xda6
67021892,Zakończono,340 000 zł,https://www.otodom.pl/hpr/pl/oferta/top-loftowe-poddasze-do-wykonczenia-stare-miasto-centrum-ID4xdsg
67023217,Dodano,349 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-potencjalem-na-2-pokoje-i-duza-piwnica-horacego-strzeszyn-ID4xdND
67023217,Zakończono,350 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-potencjalem-na-2-pokoje-i-duza-piwnica-horacego-strzeszyn-ID4xdND
67030889,Dodano,320 000 zł,https://www.otodom.pl/pl/oferta/duza-kawalerka-z-niezalezna-kuchnia-piwnica-2-pietro-niski-bloku-ID4xfNn
67031270,Dodano,312 900 zł,https://www.otodom.pl/pl/oferta/jedno-z-najtanszych-mieszkan-na-rynku-pierwotnym-ID4xfTv
67031750,Dodano,173 175 zł,https://www.otodom.pl/pl/oferta/syndyk-sprzeda-mieszkanie-kawalerke-ul-grunwaldzka-224-ID4xg1g
67031767,Dodano,192 375 zł,https://www.otodom.pl/pl/oferta/syndyk-sprzeda-mieszkanie-w-poznaniu-udzial-osiedle-wichrowe-wzgorze-ID4xg1x
67034036,Dodano,349 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-do-aranzacji-ul-lukaszewicza-ID4xgC8
67037437,Dodano,335 000 zł,https://www.otodom.pl/pl/oferta/poznan-wilda-kawalerka-z-osobna-kuchnia-31m2-ID4xhuZ
67037487,Dodano,275 000 zł,https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-do-wlasnej-aranzacji-ID4xhwN
67038859,Dodano,350 000 zł,https://www.otodom.pl/pl/oferta/lokal-w-centrum-poznania-ul-zielona-31-65m2-ID4xhRW
67041811,Dodano,340 000 zł,https://www.otodom.pl/pl/oferta/zamieszkaj-w-klimatycznej-kamienicy-blisko-centrum-poznania-ID4xiDx
67041889,Dodano,339 000 zł,https://www.otodom.pl/pl/oferta/nowoczesne-studio-gotowiec-inwestycyjny-ID4xiEN
67043143,Dodano,249 000 zł,https://www.otodom.pl/pl/oferta/idealny-lokal-pod-wynajem-po-remoncie-ID4xiZ1
67043287,Dodano,341 000 zł,https://www.otodom.pl/pl/oferta/powstan-narodowych-kawalerka-przy-parku-rataje-ID4xj1l
